ID,srcLat,srcLon
LB-418523,42.34653899,-71.07047913
LB-427987,42.31194433,-71.05385693
LB-423824,42.3630021,-71.13043669
LB-410009,34.24438675,-73.6513909
LB-423834,42.38249,-71.01815
LB-418633,42.33394216,-71.04169057
LB-414876,42.36453986,-71.02181743
LB-397020,42.30116,-71.05975
LB-419273,42.292934,-71.0521
LB-408105,34.24438675,-73.6513909
LB-400460,34.24438675,-73.6513909
LB-398570,34.24438675,-73.6513909
LB-374985,42.33223,-71.09986
LB-383185,42.33175342,-71.09867931
LB-375393,42.32537606,-71.06282448
LB-390565,34.24438675,-73.6513909
LB-401642,42.37245,-71.03549
LB-402436,34.24438675,-73.6513909
LB-400468,42.35750813,-71.05584837
LB-400360,34.24438675,-73.6513909
LB-396004,42.27171,-71.17211
LB-392637,42.3522708,-71.05909627
LB-396556,42.36216,-71.05749
LB-387106,42.32241,-71.10656
LB-385719,42.32537497,-71.06155223
LB-397007,34.24438675,-73.6513909
LB-378513,42.32587838,-71.06257563
LB-393241,42.28441,-71.16955
LB-396266,42.343424,-71.1426
LB-383161,42.36267735,-71.01863498
LB-383184,42.36267735,-71.01863498
LB-387124,42.35557,-71.06243
LB-364899,42.375103,-71.037993
LB-382579,42.34109117,-71.14683898
LB-379141,34.24438675,-73.6513909
LB-382644,42.36453986,-71.02181743
LB-381128,42.34594,-71.0709
LB-382500,42.29095,-71.06267
LB-381261,42.3560333,-71.05529812
LB-377260,34.24438675,-73.6513909
LB-378411,,
LB-364807,42.32587838,-71.06257563
LB-349883,42.29174,-71.04013
LB-369935,34.24438675,-73.6513909
LB-363532,42.28677513,-71.13052659
LB-361155,42.36709298,-71.03601158
LB-369939,34.24438675,-73.6513909
LB-373394,42.3634087,-71.02569881
LB-363642,34.24438675,-73.6513909
LB-375375,34.24438675,-73.6513909
LB-371724,42.31798694,-71.08173961
LB-364796,42.32971,-71.08546
LB-353657,42.36688254,-71.04072792
LB-364362,42.32576037,-71.06226828
LB-368642,42.34677937,-71.07610032
LB-360433,42.33016245,-71.08377521
LB-364254,42.32237677,-71.10912921
LB-349943,42.386578,-71.009157
LB-357279,42.34369836,-71.10188039
LB-353878,42.34928855,-71.1532204
LB-353633,42.35115218,-71.04534874
LB-353145,42.32644972,-71.06549368
LB-353653,42.32146,-71.06264
LB-352377,42.34197,-71.07058
LB-352398,42.35276025,-71.04310311
LB-202317,42.28330433,-71.05591495
LB-351113,42.33406918,-71.10552921
LB-352043,34.24438675,-73.6513909
LB-349572,42.32586499,-71.06209539
LB-303392,42.36486,-71.06185
LB-311729,42.33500293,-71.0462284
LB-313561,42.33642,-71.07657
LB-303682,42.3292773,-71.08921515
LB-202498,42.36560953,-71.0593766
LB-202298,42.35531477,-71.06135208
LB-162570,42.35323132,-71.04753625
LB-314275,42.36348501,-71.12969742
LB-316991,42.34181,-71.15461
LB-334563,42.34738,-71.10332
LB-336046,42.30188091,-71.06020977
LB-332668,42.348624,-71.075972
LB-318030,34.24438675,-73.6513909
LB-312661,42.35115218,-71.04534874
LB-333434,42.37842,-71.03194
LB-318110,42.28341976,-71.0651622
LB-202196,42.38689,-71.0068
LB-316958,42.32175,-71.11029
LB-318027,34.24438675,-73.6513909
LB-311978,42.34382231,-71.04538199
LB-311416,42.311379,-71.11466946
LB-311737,42.33754,-71.08406
LB-308323,42.32707,-71.06681
LB-309337,42.29605385,-71.08722928
LB-301847,42.35352169,-71.0461291
LB-309339,42.33538,-71.03969
LB-309815,42.3497,-71.08921
LB-303668,42.30565,-71.06739
LB-303415,42.29918,-71.05818
LB-302915,42.28746759,-71.14981283
LB-202300,42.27236,-71.06824
LB-202231,42.3389,-71.07393
LB-202281,42.34509707,-71.06195643
LB-202482,42.37685534,-71.06576208
LB-143861,42.36465176,-71.0533962
LB-202232,42.33903,-71.08043
LB-202268,42.3336268,-71.08144907
LB-162574,42.36522,-71.05526
LB-202199,42.37119399,-71.04395019
LB-161765,42.35231683,-71.04730354
LB-202968,42.353633,-71.057366
LB-161356,42.35115,-71.06025
LB-155692,42.33204506,-71.07372617
LB-177257,42.28806,-71.0769
LB-167065,34.24438675,-73.6513909
LB-173813,42.34626,-71.0828
LB-158948,34.24438675,-73.6513909
LB-144988,42.28221438,-71.05584443
LB-161359,42.34520451,-71.06330332
LB-161343,42.36733324,-71.03881314
LB-173360,42.28629905,-71.15200687
LB-166987,42.34995,-71.05033
LB-156015,42.366083,-71.055108
LB-168707,42.2954,-71.06139
LB-166870,34.24438675,-73.6513909
LB-156769,42.3321444,-71.09951111
LB-167019,42.334685,-71.029056
LB-162511,42.35017,-71.05127
LB-160336,42.27299,-71.06805
LB-163210,42.29983,-71.07452
LB-158623,42.3857,-71.00882
LB-144137,42.36403848,-71.05400894
